29;[25, 30[;[20, 30[;[20, 40[;[0, 40[;[0, 80[
30;[30, 35[;[30, 40[;[20, 40[;[0, 40[;[0, 80[
39;[35, 40[;[30, 40[;[20, 40[;[0, 40[;[0, 80[
40;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
41;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
42;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
43;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
44;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
45;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
46;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
47;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
48;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
49;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[
50;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
51;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
52;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
53;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
54;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
55;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
56;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
57;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
58;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
59;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[
60;[60, 80[;[60, 80[;[60, 80[;[40, 80[;[0, 80[
61;[60, 80[;[60, 80[;[60, 80[;[40, 80[;[0, 80[
62;[60, 80[;[60, 80[;[60, 80[;[40, 80[;[0, 80[
63;[60, 80[;[60, 80[;[60, 80[;[40, 80[;[0, 80[
64;[60, 80[;[60, 80[;[60, 80[;[40, 80[;[0, 80[
