40.0;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
41.0;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
42.0;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
42.2;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
43.0;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
44.0;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
45.0;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
46.0;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
47.0;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
48.0;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
49.0;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
50.0;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
50.7;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
51.0;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
51.5;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
52.0;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
52.3;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
53.0;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
53.2;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
53.3;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
53.5;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
53.6;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
53.67;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
53.9;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
54.0;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
54.35;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
54.5;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
55.0;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
55.2;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
55.4;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
55.6;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
56.0;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
56.2;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
57.0;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
57.4;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
57.8;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
58.0;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
58.5;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
58.7;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
58.8;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
59.0;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
59.2;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
59.5;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
59.8;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[40, 120[;[40, 160[
60.0;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
60.1;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
60.2;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
60.5;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
60.6;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
61.0;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
61.2;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
61.3;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
61.5;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
62.0;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
62.2;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
62.3;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
62.4;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
62.5;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
62.7;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
63.0;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
63.4;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
63.8;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
63.82;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
64.0;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
64.1;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
64.3;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
64.5;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
64.7;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
64.8;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
65.0;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
65.3;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
65.5;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
66.0;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
66.3;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
66.4;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
66.5;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
67.0;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
67.3;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
67.5;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
67.8;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
67.9;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
68.0;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
68.2;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
68.3;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
68.4;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
68.5;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
68.9;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
69.0;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
69.5;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
69.8;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
70.0;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
70.2;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
70.3;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
70.5;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
70.7;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
70.8;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
71.0;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
71.2;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
71.3;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
71.5;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
72.0;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
72.1;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
72.5;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
72.8;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
73.0;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
73.2;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
73.5;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
73.8;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
74.0;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
74.2;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
74.3;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
74.5;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
74.77;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
75.0;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
75.2;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
75.5;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
75.6;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
76.0;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
76.5;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
76.7;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
76.8;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
77.0;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
78.0;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
78.2;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
78.5;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
79.0;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
79.5;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
79.94;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[40, 120[;[40, 160[
80.0;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
80.5;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
80.7;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
80.8;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
81.0;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
81.1;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
82.0;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
82.1;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
82.3;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
82.4;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
82.5;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
82.9;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
83.0;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
83.5;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
83.6;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[40, 120[;[40, 160[
